"","X","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"18404",18404,23563,"Einbýlishús",176.2,0,5,1,7150,"Reyðarfjörður"
"18405",18405,36579,"Íbúðareign",125.9,0,3,1,680,"Hafnarfjörður - Börð"
"18406",18406,43379,"Íbúðareign",118.4,1,3,1,340,"Kópavogur: Lindir, Salir"
"18407",18407,30334,"Íbúðareign",97.9,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"18408",18408,18368,"Einbýlishús",97.2,0,3,1,999,"Reykjavík: Utan þéttbýlis"
"18409",18409,31460,"Íbúðareign",74.6,0,1,2,90,"Holt/Tún"
"18410",18410,21233,"Íbúðareign",91.6,0,2,1,150,"Seljahverfi"
"18411",18411,30964,"Íbúðareign",64.3,0,1,2,90,"Holt/Tún"
"18412",18412,22573,"Íbúðareign",68.4,0,1,1,150,"Seljahverfi"
"18413",18413,36272,"Íbúðareign",111.2,0,3,2,80,"Hlíðar"
"18414",18414,74240,"Einbýlishús",264.5,0,7,3,500,"Garðabær"
"18415",18415,34469,"Íbúðareign",127.1,0,4,2,110,"Bryggjuhverfi"
"18416",18416,18924,"Íbúðareign",50.3,0,1,1,280,"Fossvogur"
"18417",18417,25363,"Íbúðareign",118.1,1,2,1,3000,"Akranes"
"18418",18418,20172,"Íbúðareign",84.9,0,2,1,3000,"Akranes"
"18419",18419,17283,"Íbúðareign",100.4,0,2,1,6040,"Akureyri: Glerárhverfi"
"18420",18420,5000,"Íbúðareign",83.5,0,1,1,2020,"Sandgerði"
"18421",18421,30600,"Raðhús",140.2,0,4,1,2050,"Keflavík"
"18422",18422,9180,"Íbúðareign",77.7,0,1,1,2050,"Keflavík"
"18423",18423,21420,"Íbúðareign",89.5,0,1,1,2050,"Keflavík"
"18424",18424,31628,"Íbúðareign",95.2,1,2,1,600,"Hafnarfjörður"
"18425",18425,50499,"Einbýlishús",240.9,0,6,2,150,"Seljahverfi"
"18426",18426,27400,"Raðhús",142.2,0,4,1,3000,"Akranes"
"18427",18427,7738,"Íbúðareign",67.5,0,2,1,6110,"Siglufjörður"
"18428",18428,7589,"Íbúðareign",121,0,3,1,6110,"Siglufjörður"
"18429",18429,18300,"Íbúðareign",65,0,1,1,680,"Hafnarfjörður - Börð"
"18430",18430,29455,"Íbúðareign",96.5,1,2,1,340,"Kópavogur: Lindir, Salir"
"18431",18431,37858,"Íbúðareign",128.6,0,3,1,284,"Bústaðahverfi"
"18432",18432,24879,"Íbúðareign",56.3,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18433",18433,30053,"Íbúðareign",90.9,1,2,1,810,"Mosfellsbær: Teigar, Krikar"
"18434",18434,24434,"Íbúðareign",88.4,0,2,1,630,"Hafnarfjörður - Vellir"
"18435",18435,35579,"Raðhús",135.4,0,3,1,2040,"Njarðvík"
"18436",18436,25513,"Íbúðareign",65.1,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18437",18437,32486,"Íbúðareign",105.8,1,2,1,810,"Mosfellsbær: Teigar, Krikar"
"18438",18438,16472,"Einbýlishús",114.2,0,4,1,2010,"Vogar"
"18439",18439,36993,"Íbúðareign",89.5,1,0,1,510,"Garðabær: Sjáland"
"18440",18440,35373,"Íbúðareign",110.1,1,2,1,680,"Hafnarfjörður - Börð"
"18441",18441,30860,"Íbúðareign",98.9,1,2,1,340,"Kópavogur: Lindir, Salir"
"18442",18442,44063,"Íbúðareign",124.7,0,4,2,330,"Kópavogur: Hjallar, Smárar"
"18443",18443,53882,"Einbýlishús",130.4,0,4,2,320,"Kópavogur: Austurbær"
"18444",18444,41387,"Íbúðareign",146.3,0,3,1,351,"Kópavogur: Kórar"
"18445",18445,36000,"Einbýlishús",160,0,4,2,300,"Kópavogur: Vesturbær"
"18446",18446,14500,"Einbýlishús",132.4,0,4,1,8010,"Selfoss"
